iter	Passed	Remaining
0	4	452
1	9	474
2	15	496
3	20	489
4	25	480
5	30	477
6	35	469
7	40	470
8	46	468
9	51	464
10	56	459
11	61	451
12	67	448
13	72	443
14	76	435
15	81	429
16	86	424
17	91	417
18	97	413
19	101	407
20	106	402
21	111	396
22	117	392
23	121	386
24	127	381
25	131	375
26	136	369
27	141	365
28	147	360
29	151	354
30	156	349
31	162	344
32	167	339
33	172	334
34	176	328
35	182	324
36	187	318
37	192	314
38	198	309
39	202	304
40	208	299
41	213	294
42	218	289
43	222	283
44	227	278
45	232	273
46	237	267
47	242	263
48	248	258
49	253	253
50	259	249
51	264	244
52	269	238
53	275	234
54	280	229
55	285	224
56	290	219
57	295	213
58	299	208
59	305	203
60	311	199
61	316	193
62	321	188
63	326	183
64	331	178
65	336	173
66	341	168
67	346	162
68	351	157
69	356	152
70	361	147
71	368	143
72	374	138
73	380	133
74	387	129
75	393	124
76	399	119
77	406	114
78	412	109
79	418	104
80	425	99
81	431	94
82	439	90
83	445	84
84	451	79
85	461	75
86	473	70
87	485	66
88	495	61
89	503	55
90	510	50
91	518	45
92	527	39
93	534	34
94	540	28
95	546	22
96	554	17
97	558	11
98	565	5
99	571	0
